Elevation,Aspect,Slope,new_col1,a_sum
2932,74,15,29320,88
2908,54,16,29080,69
3163,30,11,31630,40
3156,39,10,31560,48
3157,43,12,31570,54
2763,75,31,27630,105
2914,76,16,29140,91
2800,72,26,28000,97
2713,80,29,27130,108
3195,353,6,31950,358
3097,300,14,30970,313
3036,53,5,30360,57
3166,305,13,31660,317
2692,82,24,26920,105
3248,315,4,32480,318
3022,74,7,30220,80
3054,42,6,30540,47
3142,313,13,31420,325
2804,73,32,28040,104
3073,50,16,30730,65
3195,225,1,31950,225
3168,304,14,31680,317
2912,55,18,29120,72
3291,349,5,32910,353
2724,94,27,27240,120
3255,107,5,32550,111
3275,75,7,32750,81
2986,326,14,29860,339
2710,99,32,27100,130
2867,95,30,28670,124
3199,53,5,31990,57
2707,89,33,27070,121
3224,275,8,32240,282
3242,238,4,32420,241
2764,101,32,27640,132
2591,146,11,25910,156
3199,99,3,31990,101
2936,103,17,29360,119
2722,102,33,27220,134
3229,228,6,32290,233
3224,153,2,32240,154
2680,18,17,26800,34
2746,67,31,27460,97
2806,70,35,28060,104
3268,269,9,32680,277
2730,355,19,27300,373
3235,333,6,32350,338
3225,84,9,32250,92
3297,198,1,32970,198
3280,160,14,32800,173
3217,103,9,32170,111
3207,90,9,32070,98
2767,82,31,27670,112
3213,120,8,32130,127
2904,92,30,29040,121
3249,344,8,32490,351
3261,162,15,32610,176
3244,177,15,32440,191
2887,87,30,28870,116
2904,88,28,29040,115
2834,75,31,28340,105
3291,118,4,32910,121
3228,180,14,32280,193
2791,72,30,27910,101
2774,72,31,27740,102
3309,14,7,33090,20
3233,218,11,32330,228
2873,94,27,28730,120
2744,332,14,27440,345
3193,127,20,31930,146
2812,89,26,28120,114
3068,74,10,30680,83
2917,87,26,29170,112
3327,13,27,33270,39
3217,18,4,32170,21
2825,92,25,28250,116
3226,114,3,32260,116
3200,116,12,32000,127
3176,129,16,31760,144
3302,107,5,33020,111
3303,88,18,33030,105
3231,76,2,32310,77
3133,107,7,31330,113
2719,86,21,27190,106
3176,166,14,31760,179
2793,91,26,27930,116
3138,243,2,31380,244
3139,18,3,31390,20
2860,86,24,28600,109
2843,332,17,28430,348
3305,82,13,33050,94
3139,38,6,31390,43
2811,75,22,28110,96
3325,135,3,33250,137
2850,87,24,28500,110
2717,72,26,27170,97
3337,317,8,33370,324
3212,42,11,32120,52
2814,57,30,28140,86
2866,341,22,28660,362
2924,272,32,29240,303
3243,93,10,32430,102
2571,45,2,25710,46
2570,28,7,25700,34
2569,350,11,25690,360
2554,222,20,25540,241
2750,86,28,27500,113
2436,340,11,24360,350
2811,79,18,28110,96
3342,90,23,33420,112
2802,88,21,28020,108
2475,321,25,24750,345
2889,114,18,28890,131
2879,112,21,28790,132
2443,64,10,24430,73
2057,264,25,20570,288
2554,307,24,25540,330
3303,77,11,33030,87
2849,120,19,28490,138
2959,201,3,29590,203
2556,259,24,25560,282
3086,63,11,30860,73
2552,331,30,25520,360
2591,290,18,25910,307
2706,78,30,27060,107
2067,256,22,20670,277
2102,100,32,21020,131
2738,91,19,27380,109
3317,330,10,33170,339
3144,14,10,31440,23
2630,100,35,26300,134
2569,102,28,25690,129
2573,317,30,25730,346
2449,350,7,24490,356
2088,64,23,20880,86
2706,93,29,27060,121
3023,41,4,30230,44
2542,88,25,25420,112
2550,306,25,25500,330
2071,237,31,20710,267
2042,55,34,20420,88
3329,303,13,33290,315
2723,82,24,27230,105
2579,309,25,25790,333
2027,64,32,20270,95
3361,298,11,33610,308
2710,76,27,27100,102
2555,307,20,25550,326
2160,64,37,21600,100
2203,27,24,22030,50
2930,225,5,29300,229
2521,351,24,25210,374
3273,101,20,32730,120
2788,54,8,27880,61
2601,310,22,26010,331
2946,113,12,29460,124
2506,307,27,25060,333
2061,67,20,20610,86
3334,79,10,33340,88
2771,59,15,27710,73
3015,162,5,30150,166
2494,86,10,24940,95
2040,94,20,20400,113
2743,282,40,27430,321
2218,309,13,22180,321
2725,74,20,27250,93
2603,292,27,26030,318
2626,316,19,26260,334
2217,87,32,22170,118
2775,57,20,27750,76
2824,120,11,28240,130
2567,33,14,25670,46
2250,81,14,22500,94
3293,109,26,32930,134
2788,32,7,27880,38
2630,12,13,26300,24
2744,321,23,27440,343
3387,250,7,33870,256
2776,89,20,27760,108
2770,245,28,27700,272
2612,301,24,26120,324
2075,203,26,20750,228
3370,22,5,33700,26
3275,109,23,32750,131
2723,84,25,27230,108
2710,285,25,27100,309
3375,34,5,33750,38
3371,336,3,33710,338
2599,28,21,25990,48
2636,336,26,26360,361
2009,330,13,20090,342
2016,47,27,20160,73
2078,144,34,20780,177
2077,246,22,20770,267
3379,55,10,33790,64
3376,34,5,33760,38
3349,113,15,33490,127
2676,103,29,26760,131
3379,42,6,33790,47
3345,117,16,33450,132
3299,91,25,32990,115
2647,332,24,26470,355
2651,3,21,26510,23
3381,48,7,33810,54
3319,103,14,33190,116
2801,91,13,28010,103
2594,309,32,25940,340
2024,353,19,20240,371
2659,15,21,26590,35
2087,300,24,20870,323
2025,316,20,20250,335
2041,356,25,20410,380
2027,42,13,20270,54
2110,342,5,21100,346
2697,93,29,26970,121
2680,93,29,26800,121
2697,353,23,26970,375
2670,5,21,26700,25
2024,321,22,20240,342
2711,135,12,27110,146
2023,345,27,20230,371
2029,336,30,20290,365
2033,39,20,20330,58
2105,216,13,21050,228
3416,67,5,34160,71
3388,66,6,33880,71
2791,134,13,27910,146
2779,121,18,27790,138
2679,95,28,26790,122
2968,346,2,29680,347
2194,126,8,21940,133
2039,358,30,20390,387
1889,28,22,18890,49
3286,26,11,32860,36
3085,40,7,30850,46
2692,99,27,26920,125
2596,316,24,25960,339
1927,4,36,19270,39
3372,112,10,33720,121
2900,233,7,29000,239
2760,330,24,27600,353
2786,348,19,27860,366
3287,41,9,32870,49
2777,106,16,27770,121
2941,339,14,29410,352
2191,100,13,21910,112
1899,355,22,18990,376
2766,103,16,27660,118
2585,266,38,25850,303
2893,240,10,28930,249
2898,207,7,28980,213
2906,235,13,29060,247
2771,30,29,27710,58
2039,267,15,20390,281
2081,84,35,20810,118
1925,352,22,19250,373
2778,111,15,27780,125
2748,98,17,27480,114
2728,97,20,27280,116
2875,90,8,28750,97
2848,107,21,28480,127
2817,39,21,28170,59
2739,335,17,27390,351
2181,116,7,21810,122
2097,74,18,20970,91
1922,50,29,19220,78
1953,41,34,19530,74
2919,77,21,29190,97
2879,247,14,28790,260
2757,59,25,27570,83
2030,70,7,20300,76
1954,47,32,19540,78
1959,10,34,19590,43
2814,120,10,28140,129
2795,321,21,27950,341
2104,59,23,21040,81
1932,251,26,19320,276
2826,199,19,28260,217
2732,328,21,27320,348
2750,314,24,27500,337
2077,344,27,20770,370
2874,87,19,28740,105
2753,93,15,27530,107
2714,86,20,27140,105
2697,259,10,26970,268
2879,255,16,28790,270
2834,1,12,28340,12
2046,91,26,20460,116
1972,50,21,19720,70
2000,61,13,20000,73
2079,324,32,20790,355
2941,101,23,29410,123
2811,96,12,28110,107
2759,104,14,27590,117
2736,88,19,27360,106
2704,87,20,27040,106
2692,86,22,26920,107
2734,255,15,27340,269
2877,233,9,28770,241
2835,344,16,28350,359
2079,22,33,20790,54
2159,271,31,21590,301
1995,238,22,19950,259
2033,344,36,20330,379
1905,77,21,19050,97
2925,110,21,29250,130
2777,118,13,27770,130
2704,95,20,27040,114
2642,267,22,26420,288
2112,271,30,21120,300
1977,87,41,19770,127
2093,325,34,20930,358
1973,80,29,19730,108
3059,77,15,30590,91
2852,126,19,28520,144
2712,112,21,27120,132
2593,290,20,25930,309
2853,274,15,28530,288
2887,231,9,28870,239
2010,280,19,20100,298
2096,312,27,20960,338
2856,114,24,28560,137
2695,119,24,26950,142
2695,269,13,26950,281
2827,283,13,28270,295
2840,344,19,28400,362
2106,341,35,21060,375
2851,110,21,28510,130
2805,249,18,28050,266
2864,248,13,28640,260
2882,276,9,28820,284
2118,1,20,21180,20
2043,123,23,20430,145
2047,260,24,20470,283
2158,320,11,21580,330
2827,93,9,28270,101
2801,110,9,28010,118
2736,106,15,27360,120
2717,115,17,27170,131
2038,110,11,20380,120
2043,311,20,20430,330
2001,54,17,20010,70
1986,10,19,19860,28
2145,247,24,21450,270
2160,148,8,21600,155
2068,122,38,20680,159
2803,105,7,28030,111
2794,69,8,27940,76
2769,86,15,27690,100
2688,120,28,26880,147
2894,300,23,28940,322
2857,311,14,28570,324
2160,121,25,21600,145
2044,107,19,20440,125
2038,15,3,20380,17
2139,11,35,21390,45
2028,57,30,20280,86
3154,130,7,31540,136
2795,87,9,27950,95
2784,107,14,27840,120
2897,243,6,28970,248
2842,3,23,28420,25
2725,353,23,27250,375
2029,8,31,20290,38
2892,259,8,28920,266
2068,170,25,20680,194
2046,360,29,20460,388
2858,54,17,28580,70
2898,303,11,28980,313
2175,332,23,21750,354
2062,141,20,20620,160
2055,162,10,20550,171
2057,202,19,20570,220
2016,40,28,20160,67
2017,281,13,20170,293
2832,73,15,28320,87
2809,110,15,28090,124
2639,331,13,26390,343
2070,192,28,20700,219
2075,4,29,20750,32
2190,39,26,21900,64
2067,103,28,20670,130
2054,189,18,20540,206
2048,142,16,20480,157
1978,346,37,19780,382
2061,344,29,20610,372
2754,134,29,27540,162
2731,145,30,27310,174
2700,288,10,27000,297
2046,104,4,20460,107
2845,144,20,28450,163
2792,139,24,27920,162
2271,61,17,22710,77
2061,103,18,20610,120
2085,300,29,20850,328
2071,323,33,20710,355
2098,8,28,20980,35
2850,175,11,28500,185
2842,152,17,28420,168
2800,139,21,28000,159
2732,292,8,27320,299
2985,133,12,29850,144
2236,359,25,22360,383
2266,347,24,22660,370
2025,92,46,20250,137
2086,323,33,20860,355
2734,307,9,27340,315
2157,47,29,21570,75
2021,14,34,20210,47
2796,145,18,27960,162
2963,66,11,29630,76
2245,52,20,22450,71
2224,43,15,22240,57
2060,97,11,20600,107
3344,207,20,33440,226
2708,99,12,27080,110
2784,3,25,27840,27
2233,276,30,22330,305
2126,5,39,21260,43
2144,30,37,21440,66
2763,326,7,27630,332
2941,57,16,29410,72
2064,130,8,20640,137
2137,357,32,21370,388
3303,208,12,33030,219
2781,153,20,27810,172
2763,313,8,27630,320
2782,252,8,27820,259
2226,47,19,22260,65
2283,43,9,22830,51
2069,323,17,20690,339
2153,322,25,21530,346
2719,285,16,27190,300
2781,339,7,27810,345
2787,281,14,27870,294
2110,32,30,21100,61
2070,319,10,20700,328
2080,305,23,20800,327
2051,102,31,20510,132
1993,291,41,19930,331
2195,314,36,21950,349
2174,344,31,21740,374
2760,161,22,27600,182
2743,154,21,27430,174
2807,268,17,28070,284
2819,254,22,28190,275
2858,75,13,28580,87
2307,25,16,23070,40
2074,80,12,20740,91
2183,352,30,21830,381
2005,284,29,20050,312
3246,209,7,32460,215
2759,183,20,27590,202
2756,172,22,27560,193
2840,276,22,28400,297
2870,264,16,28700,279
2983,351,18,29830,368
2327,310,27,23270,336
2136,232,26,21360,257
2059,20,38,20590,57
2247,20,25,22470,44
2743,169,20,27430,188
2738,165,19,27380,183
2938,291,7,29380,297
3020,55,13,30200,67
2892,357,21,28920,377
2207,331,22,22070,352
2080,47,22,20800,68
2099,3,33,20990,35
2003,5,22,20030,26
2117,300,34,21170,333
2254,323,26,22540,348
3277,194,8,32770,201
3193,135,28,31930,162
2841,307,21,28410,327
2210,272,15,22100,286
2072,56,17,20720,72
2320,74,35,23200,108
2078,49,29,20780,77
2870,280,13,28700,292
2093,274,18,20930,291
2283,311,22,22830,332
2417,9,23,24170,31
2100,71,28,21000,98
2083,90,30,20830,119
2039,329,31,20390,359
2855,320,19,28550,338
2095,148,29,20950,176
2073,336,11,20730,346
2286,14,31,22860,44
2277,354,25,22770,378
3031,274,18,30310,291
2836,342,25,28360,366
2087,61,28,20870,88
2290,315,18,22900,332
2290,2,20,22900,21
2018,38,19,20180,56
2087,138,11,20870,148
2157,295,41,21570,335
2090,92,28,20900,119
2165,93,36,21650,128
2052,316,14,20520,329
2136,345,15,21360,359
3299,210,10,32990,219
3018,61,16,30180,76
2092,147,17,20920,163
2154,242,27,21540,268
2337,59,24,23370,82
2165,90,36,21650,125
2137,24,17,21370,40
2345,307,17,23450,323
2236,71,30,22360,100
2217,84,30,22170,113
2123,94,37,21230,130
2053,66,15,20530,80
2160,90,37,21600,126
2121,315,18,21210,332
2206,267,36,22060,302
2144,29,19,21440,47
2216,98,34,22160,131
2177,106,34,21770,139
2156,108,35,21560,142
2136,108,35,21360,142
2115,104,36,21150,139
2171,39,26,21710,64
2198,102,34,21980,135
2278,244,34,22780,277
2198,297,30,21980,326
2273,103,31,22730,133
2212,98,36,22120,133
2064,76,16,20640,91
2146,303,19,21460,321
3286,207,6,32860,212
2732,39,6,27320,44
2111,34,2,21110,35
2109,188,2,21090,189
2111,211,14,21110,224
2111,105,9,21110,113
2075,298,16,20750,313
2318,120,36,23180,155
2300,124,37,23000,160
2266,124,31,22660,154
2120,108,33,21200,140
2170,14,22,21700,35
2351,135,5,23510,139
2352,235,17,23520,251
2137,100,36,21370,135
3269,205,15,32690,219
2970,146,23,29700,168
2741,284,15,27410,298
2120,79,2,21200,80
2170,337,33,21700,369
2078,114,8,20780,121
2353,117,9,23530,125
2180,107,38,21800,144
2133,102,35,21330,136
2820,111,29,28200,139
2248,59,29,22480,87
2259,131,35,22590,165
2199,135,31,21990,165
2174,259,32,21740,290
2139,119,10,21390,128
2136,41,5,21360,45
2207,351,30,22070,380
2255,329,36,22550,364
2379,126,21,23790,146
2359,120,34,23590,153
2342,134,29,23420,162
2332,225,26,23320,250
2258,124,34,22580,157
2176,129,29,21760,157
2141,108,35,21410,142
2120,107,34,21200,140
2085,103,27,20850,129
2178,309,21,21780,329
2278,222,6,22780,227
2058,137,35,20580,171
2771,146,7,27710,152
2922,169,22,29220,190
2151,4,23,21510,26
2328,160,7,23280,166
2376,213,11,23760,223
2347,122,36,23470,157
2343,184,14,23430,197
2333,106,26,23330,131
2292,101,38,22920,138
2190,131,29,21900,159
2153,116,27,21530,142
2081,100,21,20810,120
2076,324,4,20760,327
2012,155,27,20120,181
2005,159,28,20050,186
3260,58,12,32600,69
2970,247,10,29700,256
2770,110,24,27700,133
2147,150,15,21470,164
2081,7,9,20810,15
2328,113,8,23280,120
2319,171,17,23190,187
2322,208,17,23220,224
2369,168,15,23690,182
2336,123,36,23360,158
2319,132,31,23190,162
2302,169,21,23020,189
2334,111,24,23340,134
2192,122,29,21920,150
2116,101,34,21160,134
2291,353,22,22910,374
2244,108,28,22440,135
2214,84,23,22140,106
2182,61,31,21820,91
2009,128,14,20090,141
1996,96,13,19960,108
2884,311,17,28840,327
2903,158,18,29030,175
2791,110,27,27910,136
2143,67,2,21430,68
2105,136,17,21050,152
2088,21,10,20880,30
2286,278,35,22860,312
2328,92,13,23280,104
2308,178,17,23080,194
2340,272,27,23400,298
2344,121,35,23440,155
2308,250,25,23080,274
2233,121,36,22330,156
2171,121,26,21710,146
2148,129,26,21480,154
2238,97,23,22380,119
2226,84,21,22260,104
2778,104,18,27780,121
2304,349,29,23040,377
2319,353,20,23190,372
2316,99,21,23160,119
2299,171,13,22990,183
2302,230,16,23020,245
2356,210,10,23560,219
2334,121,35,23340,155
2314,119,34,23140,152
2304,247,27,23040,273
2113,85,20,21130,104
2008,81,6,20080,86
3260,207,11,32600,217
2967,144,16,29670,159
2878,200,6,28780,205
2884,150,17,28840,166
2324,254,14,23240,267
2156,130,7,21560,136
2102,288,3,21020,290
2312,251,25,23120,275
2304,122,33,23040,154
2152,136,31,21520,166
2139,136,32,21390,167
2112,136,31,21120,166
2331,2,16,23310,17
2101,39,19,21010,57
2094,44,20,20940,63
2027,119,21,20270,139
3266,172,13,32660,184
2873,283,20,28730,302
2844,171,32,28440,202
2838,149,30,28380,178
2106,150,17,21060,166
2101,148,3,21010,150
2294,124,31,22940,154
2196,123,34,21960,156
2151,134,31,21510,164
2293,75,16,22930,90
2036,114,18,20360,131
2021,115,10,20210,124
2823,105,16,28230,120
2873,138,13,28730,150
2864,144,12,28640,155
2161,317,17,21610,333
2102,347,6,21020,352
2105,329,17,21050,345
2133,51,20,21330,70
2108,303,25,21080,327
2282,304,17,22820,320
2284,112,11,22840,122
2315,211,21,23150,231
2204,114,34,22040,147
2124,130,31,21240,160
2110,129,24,21100,152
2311,290,20,23110,309
2338,336,15,23380,350
2222,65,34,22220,98
2149,51,25,21490,75
3217,180,4,32170,183
2839,341,26,28390,366
2815,98,14,28150,111
2319,265,14,23190,278
2113,184,7,21130,190
2115,51,7,21150,57
2327,109,27,23270,135
2295,147,32,22950,178
2214,127,31,22140,157
2110,354,19,21100,372
2270,41,33,22700,73
2286,319,29,22860,347
2029,347,21,20290,367
2828,95,14,28280,108
2838,195,9,28380,203
2120,22,14,21200,35
2326,145,26,23260,170
2316,132,28,23160,159
2303,122,26,23030,147
2280,128,16,22800,143
2282,212,20,22820,231
2292,177,29,22920,205
2229,159,22,22290,180
2235,174,31,22350,204
2221,150,33,22210,182
2352,328,3,23520,330
3210,162,9,32100,170
2868,94,22,28680,115
2821,85,13,28210,97
2835,218,9,28350,226
2114,114,11,21140,124
2111,10,7,21110,16
2121,331,27,21210,357
2140,320,32,21400,351
2155,312,28,21550,339
2273,185,16,22730,200
2270,158,27,22700,184
2238,139,25,22380,163
2219,141,20,22190,160
2214,159,28,22140,186
2134,117,32,21340,148
2110,99,3,21100,101
2296,208,19,22960,226
2339,26,23,23390,48
2033,20,5,20330,24
2362,268,22,23620,289
2118,185,6,21180,190
2118,342,8,21180,349
2129,336,29,21290,364
2183,315,34,21830,348
2148,150,33,21480,182
2113,122,12,21130,133
2111,308,5,21110,312
2266,358,12,22660,369
2327,320,20,23270,339
2063,319,31,20630,349
2089,325,33,20890,357
2114,135,18,21140,152
2115,289,11,21150,299
2124,309,20,21240,328
2215,60,26,22150,85
2191,126,14,21910,139
2152,357,20,21520,376
2284,267,4,22840,270
2177,284,23,21770,306
2129,342,1,21290,342
2129,309,3,21290,311
2128,231,7,21280,237
2119,122,17,21190,138
2132,304,28,21320,331
2194,21,28,21940,48
2237,72,23,22370,94
2223,75,27,22230,101
2205,75,26,22050,100
2173,101,22,21730,122
2278,223,25,22780,247
2323,264,12,23230,275
2050,334,15,20500,348
2090,35,26,20900,60
2825,112,14,28250,125
2259,298,31,22590,328
2128,73,6,21280,78
2133,3,15,21330,17
2130,131,19,21300,149
2122,127,17,21220,143
2142,288,27,21420,314
2258,98,20,22580,117
2122,0,3,21220,2
2349,314,17,23490,330
2070,316,23,20700,338
2302,193,13,23020,205
2310,356,7,23100,362
2140,22,11,21400,32
2143,24,21,21430,44
2130,144,12,21300,155
2320,350,17,23200,366
2286,113,14,22860,126
2277,115,19,22770,133
2266,114,23,22660,136
2252,115,26,22520,140
2190,120,28,21900,147
2197,352,26,21970,377
2281,80,9,22810,88
2112,20,31,21120,50
2028,334,24,20280,357
2807,98,14,28070,111
2198,143,22,21980,164
2180,51,7,21800,57
2182,326,17,21820,342
2144,30,23,21440,52
2138,27,18,21380,44
2140,342,15,21400,356
2107,86,9,21070,94
2108,315,8,21080,322
2212,355,29,22120,383
2331,11,9,23310,19
2278,138,22,22780,159
2230,116,28,22300,143
2216,121,26,22160,146
2153,121,29,21530,149
2137,117,25,21370,141
2264,223,11,22640,233
2289,111,15,22890,125
2116,26,27,21160,52
2109,39,30,21090,68
2027,61,23,20270,83
2820,110,13,28200,122
2799,111,14,27990,124
2289,168,15,22890,182
2190,23,9,21900,31
2192,207,19,21920,225
2190,141,19,21900,159
2369,294,27,23690,320
2171,19,28,21710,46
2159,36,25,21590,60
2169,146,27,21690,172
2148,52,6,21480,57
2145,342,20,21450,361
2132,38,21,21320,58
2123,320,20,21230,339
2302,342,28,23020,369
2309,336,29,23090,364
2330,260,5,23300,264
2305,126,19,23050,144
2238,126,26,22380,151
2211,106,23,22110,128
2244,2,25,22440,26
2244,330,13,22440,342
2063,21,7,20630,27
2159,13,24,21590,36
2150,34,26,21500,59
3193,88,7,31930,94
2184,5,8,21840,12
2229,164,28,22290,191
2154,152,13,21540,164
2131,264,9,21310,272
2313,350,26,23130,375
2281,139,21,22810,159
2185,101,28,21850,128
2256,352,30,22560,381
2324,132,14,23240,145
2336,300,16,23360,315
2261,166,14,22610,179
2172,283,22,21720,304
2187,21,32,21870,52
2153,33,27,21530,59
2146,20,26,21460,45
2130,71,14,21300,84
2345,359,20,23450,378
2337,66,19,23370,84
2317,165,18,23170,182
2311,134,20,23110,153
2300,126,23,23000,148
2273,132,21,22730,152
2247,140,23,22470,162
2159,114,31,21590,144
2133,339,7,21330,345
2274,6,34,22740,39
3049,181,13,30490,193
2881,117,16,28810,132
2891,112,15,28910,126
2254,145,8,22540,152
2253,183,5,22530,187
2210,122,22,22100,143
2209,327,24,22090,350
2376,82,2,23760,83
2339,342,21,23390,362
2350,85,12,23500,96
2297,183,20,22970,202
2218,138,28,22180,165
2309,338,18,23090,355
2312,308,15,23120,322
2305,34,10,23050,43
2302,6,13,23020,18
2055,105,21,20550,125
2097,10,23,20970,32
2253,202,20,22530,221
2231,5,19,22310,23
2213,248,5,22130,252
2170,8,23,21700,30
2131,299,6,21310,304
2139,259,21,21390,279
2359,111,4,23590,114
2264,115,20,22640,134
2226,126,25,22260,150
2215,133,29,22150,161
2221,320,30,22210,349
2325,342,13,23250,354
2331,265,11,23310,275
2312,6,13,23120,18
2079,80,7,20790,86
2119,310,23,21190,332
2133,292,26,21330,317
2196,49,10,21960,58
2820,334,7,28200,340
2813,355,21,28130,375
2264,64,6,22640,69
2207,45,3,22070,47
2208,12,35,22080,46
2346,107,13,23460,119
2308,94,24,23080,117
2257,128,25,22570,152
2234,121,25,22340,145
2153,133,10,21530,142
2323,7,26,23230,32
2333,333,17,23330,349
2085,99,12,20850,110
2136,307,24,21360,330
2997,300,19,29970,318
2865,118,22,28650,139
2804,115,18,28040,132
2245,165,19,22450,183
2214,146,14,22140,159
2332,329,17,23320,345
2366,263,10,23660,272
2285,15,25,22850,39
2209,32,6,22090,37
2343,92,16,23430,107
2280,196,19,22800,214
2270,137,25,22700,161
2247,133,27,22470,159
2225,130,28,22250,157
2157,103,6,21570,108
2195,22,21,21950,42
2334,343,21,23340,363
2088,95,6,20880,100
2142,344,28,21420,371
2807,123,20,28070,142
2243,110,5,22430,114
2240,186,2,22400,187
2264,351,28,22640,378
2342,329,21,23420,349
2355,328,22,23550,349
2267,3,37,22670,39
2372,346,13,23720,358
2315,109,26,23150,134
2269,194,22,22690,215
2267,155,25,22670,179
2248,140,30,22480,169
2183,121,31,21830,151
2162,27,6,21620,32
2348,49,10,23480,58
2095,104,15,20950,118
2160,348,30,21600,377
2079,28,18,20790,45
2827,351,3,28270,353
2874,131,17,28740,147
2314,145,16,23140,160
2279,10,4,22790,13
2204,58,14,22040,71
2145,337,17,21450,353
2151,344,19,21510,362
2352,100,16,23520,115
2324,116,26,23240,141
2249,194,22,22490,215
2220,144,32,22200,175
2174,123,22,21740,144
2323,315,1,23230,315
2349,340,22,23490,361
2206,319,27,22060,345
2113,322,33,21130,354
2282,50,8,22820,57
2200,245,4,22000,248
2281,310,46,22810,355
2329,344,33,23290,376
2327,124,25,23270,148
2239,186,26,22390,211
2174,141,20,21740,160
2232,332,31,22320,362
2199,343,30,21990,372
2234,18,27,22340,44
2912,320,15,29120,334
2935,105,3,29350,107
2836,355,13,28360,367
2227,58,8,22270,65
2232,333,19,22320,351
2202,321,3,22020,323
2393,335,14,23930,348
2367,107,21,23670,127
2295,119,24,22950,142
2241,99,28,22410,126
2227,128,19,22270,146
2172,128,13,21720,140
2365,30,22,23650,51
2333,116,7,23330,122
2363,74,20,23630,93
2162,323,37,21620,359
2187,325,36,21870,360
2897,109,16,28970,124
2845,21,15,28450,35
2887,87,10,28870,96
2803,118,21,28030,138
2247,283,43,22470,325
2386,113,20,23860,132
2300,116,24,23000,139
2199,147,28,21990,174
2260,47,28,22600,74
2149,59,28,21490,86
2104,37,21,21040,57
2995,80,4,29950,83
3025,342,25,30250,366
2896,54,13,28960,66
2788,121,20,27880,140
2329,349,8,23290,356
2246,324,21,22460,344
2329,0,29,23290,28
2230,318,6,22300,323
2284,90,21,22840,110
2200,76,6,22000,81
2357,46,15,23570,60
2380,123,20,23800,142
2362,107,22,23620,128
2322,105,24,23220,128
2310,104,25,23100,128
2282,114,24,22820,137
2272,61,24,22720,84
2247,38,22,22470,59
2261,43,29,22610,71
2228,87,29,22280,115
2203,85,3,22030,87
2206,166,10,22060,175
2183,299,31,21830,329
2392,167,11,23920,177
2319,111,25,23190,135
2306,111,26,23060,136
2249,113,25,22490,137
2181,36,2,21810,37
2184,338,13,21840,350
2339,135,4,23390,138
2112,23,9,21120,31
2240,297,30,22400,326
2284,352,19,22840,370
2121,296,18,21210,313
3078,52,23,30780,74
2881,14,16,28810,29
2241,313,20,22410,332
2233,153,11,22330,163
2299,264,14,22990,277
2200,152,8,22000,159
2207,219,16,22070,234
2212,188,22,22120,209
2406,20,19,24060,38
2387,6,13,23870,18
2349,131,24,23490,154
2325,124,27,23250,150
2299,121,27,22990,147
2249,112,26,22490,137
2187,103,13,21870,115
2182,62,4,21820,65
2362,286,23,23620,308
2356,328,21,23560,348
2117,45,4,21170,48
2211,283,26,22110,308
2277,0,28,22770,27
2164,55,32,21640,86
2127,16,25,21270,40
2882,80,7,28820,86
2910,41,5,29100,45
2165,78,11,21650,88
2384,131,9,23840,139
2348,136,24,23480,159
2264,130,29,22640,158
2193,120,14,21930,133
2358,308,29,23580,336
2394,291,23,23940,313
2186,144,31,21860,174
2830,116,26,28300,141
2335,205,10,23350,214
2389,101,19,23890,119
2168,352,7,21680,358
2381,137,11,23810,147
2329,131,25,23290,155
2211,131,29,22110,159
2200,132,21,22000,152
2191,342,8,21910,349
2331,289,24,23310,312
2371,332,19,23710,350
2379,321,23,23790,343
2386,117,11,23860,127
2386,336,11,23860,346
2151,139,25,21510,163
2134,114,11,21340,124
2130,358,14,21300,371
2184,316,24,21840,339
2300,299,25,23000,323
2252,112,26,22520,137
2286,307,30,22860,336
2216,70,32,22160,101
2305,124,5,23050,128
2253,312,27,22530,338
2367,111,18,23670,128
2239,128,32,22390,159
2190,90,3,21900,92
2143,27,20,21430,46
2183,303,28,21830,330
2263,290,34,22630,323
2194,12,28,21940,39
3017,20,20,30170,39
2902,325,15,29020,339
2889,19,11,28890,29
2362,343,25,23620,367
2236,94,10,22360,103
2261,295,23,22610,317
2290,354,13,22900,366
2425,57,21,24250,77
2336,80,22,23360,101
2262,126,32,22620,157
2202,122,19,22020,140
2376,284,21,23760,304
2348,330,9,23480,338
2395,343,9,23950,351
2223,349,26,22230,374
2308,280,13,23080,292
2891,86,7,28910,92
2819,126,22,28190,147
2780,94,6,27800,99
2317,150,8,23170,157
2197,316,28,21970,343
2337,93,25,23370,117
2322,100,30,23220,129
2264,109,30,22640,138
2208,106,20,22080,125
2200,98,12,22000,109
2184,98,18,21840,115
2180,45,10,21800,54
2161,62,23,21610,84
2305,104,16,23050,119
2250,36,33,22500,68
3265,122,9,32650,130
3050,13,33,30500,45
2285,326,21,22850,346
2383,301,39,23830,339
2188,72,12,21880,83
2188,325,12,21880,336
2379,58,11,23790,68
3190,342,16,31900,357
3175,52,30,31750,81
2833,130,21,28330,150
2796,112,10,27960,121
2928,32,7,29280,38
2262,26,6,22620,31
2321,254,19,23210,272
2325,83,11,23250,93
2189,80,10,21890,89
2374,88,23,23740,110
2264,99,29,22640,127
2199,333,4,21990,336
2196,76,15,21960,90
2207,0,28,22070,27
2166,81,26,21660,106
2300,59,33,23000,91
2264,59,27,22640,85
2282,348,31,22820,378
2280,28,26,22800,53
2959,23,12,29590,34
2827,125,18,28270,142
